Expocode,Section_ID,Station_number,Cast_number,Bottle_number,Time[UTC],Date,Latitude,Longitude,Depth[m],CTD_Pressure[dbars],CTD_Temperature[ITS-90],Conductivity,Salinity[PSS-78],T_Alk[umol/kg],pH[in-situ],T_C[umol/kg],pCO2[uatm],NO2+NO3[umol/kg],PO4[umol/kg],SiO2[umol/kg],?ar,N:Si,N_Si(Index_A),N_Si(Index_B),delN(expected-measured),delSi (expected-measured),Potential_Alk,C:P_drawdown,N:P_drawdown,Si:P_drawdown,P:P_drawdown,C_drawdown,N_drawdown,Si_drawdown,P_drawdown,N:Si_drawdown,pH(SWS25),pCO2[TEQ 20DEGC],Mean Wind 1 Jun to Occupation[m/s scalar],Mean Wind Week Before Occupation[m/s scalar],Wind at time Occupied[m/s scalar],Wind 24 hr Mean [m/s scalar],del18O,Pw (Surface water vapour pressure)[atm],Pw[mbars],Pb (Barometric pressure)[mbars],xCO2 (ICELAND AVERAGE JUN/JUL)[ppm],Pb[atm],pCO2 atmosphere[atm],Temp[K],CO2 Sol [mol/kg/atm],CO2 Sol [mol/cc/atm],"Sc CO2, seawater [unitless]",KT CO2 ,delta pCO2,flux [mol/m2/h],flux [mol/m2/month],Pb Average [mbars],Pb Average [atm],pCO2 atmosphere average Pb [atm],CO2 Sol average Pb [mol/kg/atm],CO2 Sol average Pb [mol/cc/atm],"Sc CO2, seawater average Pb [(unitless)]",KT CO2 average Pb (cm/hr),delta pCO2 average Pb [atm],flux average Pb [mol/m2/h],flux month average Pb [mol/m2/month],,,,Mean Flux x area [mol/month],median flux x area [mol/month],sd x area,mean flux x area [g/month],median flux x area [g/month],sd,flux [g C/m2/month],,
RFI,A62013,241,1,1,4:35,20130612,64.4504,-28.3051,8.861,8.861,7.9796,-999,35.075,2329.74,8.132,2115.8,312.1,6.42,0.51,1.29,2.31,-999,-1.86663611,-0.868548388,1.74,6.36,2336.16,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8749,520.1,6.934130435,6.439310345,8,8.506,,0.010360384,10.49765939,1000.5,398.4705882,0.987416728,389.3282162,281.1296,0.046940848,4.81E-05,1280,13.57,-77.23,-0.000504078,-0.367977133,1004.323077,0.991189812,390.831679,0.046940848,4.81E-05,1280,13.57,-78.73167898,-0.000513892,-0.375140835,-0.022804777,max,,,,,,,,-4.505441428,average,#NAME?
RFI,A62013,241,1,1,4:35,20130612,64.4504,-28.3051,19.276,19.276,7.9781,-999,35.076,2324.42,8.132,2110.8,311.1,6.36,0.51,1.3,2.3,-999,-1.829702763,-0.839575145,1.8,6.35,2330.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8747,518.8,,,,,,,,,,,,281.1281,,,,,,,,1004.323077,0.991189812,,,,,,,,,-1.030564282,min,w/o seaice stn,-1.59E+11,-1.48E+11,88425861644,-1.91E+12,-1.77E+12,1.06E+12,,max,
RFI,A62013,241,1,1,4:35,20130612,64.4504,-28.3051,49.987,49.987,7.5305,-999,35.086,2316,8.065,2135.7,368,10.03,0.75,2.99,1.98,-999,-2.05510221,-0.435393403,1.97,8.26,2326.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.806,624.1,,,,,,,,,,,,280.6805,,,,,,,,1004.323077,0.991189812,,,,,,,,,-0.28402075,average,-0.274688956,-1.54E+11,-1.43E+11,75512081358,-1.85E+12,-1.72E+12,9.07E+11,,min,
RFI,A62013,241,1,1,4:35,20130612,64.4504,-28.3051,101.325,101.325,7.2212,-999,35.1,2325.21,8.042,2155.6,390,12.46,0.86,4.46,1.86,3.377020806,-1.894203585,0.164769218,1.3,8.44,2337.67,138.1252209,18.6427074,10.2131237,1,2297.53625,310.097575,169.88224,16.63372,1.825367825,7.7797,670,,,,,,,,,,,,280.3712,,,,,,,,1004.323077,0.991189812,,,,,,,,,0.157804696,sd,0.134758778,,,,,,,,sd,
RFI,A62013,242,1,1,9:04,20130612,64.45,-29.5444,3.667,3.667,7.932,-999,35.066,2325.81,8.105,2125.1,334.6,7.9,0.58,1.55,2.19,-999,-2.32998174,-1.104123648,1.38,7.15,2333.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8494,558.4,7.043617021,6.692413793,4.89,7.952,,0.010327208,10.46404311,1001.1,398.4705882,0.988008882,389.577392,281.082,0.047019763,4.82E-05,1283,13.88,-54.98,-0.000367758,-0.268463454,1004.323077,0.991189812,390.8448989,0.047019763,4.82E-05,1283,13.88,-56.24489892,-0.000376237,-0.274652894,-0.263527228,,-0.255824096,,,,,,,-3.298581257,,
RFI,A62013,242,1,1,9:04,20130612,64.45,-29.5444,9.869,9.869,7.9186,-999,35.066,2327.57,8.104,2127.3,335.7,7.96,0.59,1.62,2.19,-999,-2.296229255,-1.057449764,1.48,7.23,2335.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8481,560.5,,,,,,,,,,,,281.0686,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,242,1,1,9:04,20130612,64.45,-29.5444,21.081,21.081,7.7419,-999,35.09,2330.13,8.084,2139.7,353.5,9.17,0.67,2.53,2.09,-999,-2.058813216,-0.590582848,1.55,7.52,2339.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.827,594.6,,,,,,,,,,,,280.8919,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,242,1,1,9:04,20130612,64.45,-29.5444,51.191,51.191,7.4679,-999,35.126,2328.17,8.037,2159.5,397.9,12.07,0.86,4.51,1.88,-999,-1.667390421,0.338665633,1.69,8.39,2340.24,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7789,676.1,,,,,,,,,,,,280.6179,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,242,1,1,9:04,20130612,64.45,-29.5444,101.615,101.615,7.3263,-999,35.112,2331.28,8.057,2154.4,376.4,11.84,0.82,4.29,1.93,2.99147346,-1.754068923,0.20556919,1.28,8.01,2343.12,100.3876921,21.69955517,13.98927354,1,425.174,91.90456,59.24905,4.23532,1.551156685,7.795,644.5,,,,,,,,,,,,280.4763,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,3.422,3.422,7.7149,-999,35.047,2325.57,8.107,2125.8,333,8.54,0.62,2.64,2.18,-999,-1.666595206,-0.281688325,1.38,6.66,2334.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8476,561.2,7.152857143,7.189310345,1.94,5.856,,0.01017697,10.31181495,1008.4,398.4705882,0.995213422,392.5080545,280.8649,0.047376099,4.86E-05,1300,14.12,-59.51,-0.000408158,-0.297955694,1004.323077,0.991189812,390.9047641,0.047376099,4.86E-05,1300,14.12,-57.90476415,-0.000397162,-0.28992805,,,,,,,,,,-3.482035881,,
