Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,241,64.4504,331.69489,8.861,7.9796,35.075,2329.74,8.132,1965.9,6.42,0.51,1.29,2.31,,,,,,
RFI,241,64.4504,331.69489,19.276,7.9781,35.076,2324.4199,8.132,1961.2,6.36,0.51,1.3,2.3,,,,,,
RFI,241,64.4504,331.69489,49.987,7.5305,35.086,2316,8.065,1996.1,10.03,0.75,2.99,1.98,,,,,,
RFI,241,64.4504,331.69489,101.325,7.2212,35.1,2325.21,8.042,2018.3,12.46,0.86,4.46,1.86,,,,,,
RFI,242,64.45,330.4556,3.667,7.932,35.066,2325.8101,8.105,1980,7.9,0.58,1.55,2.19,,,,,,
RFI,242,64.45,330.4556,9.869,7.9186,35.066,2327.5701,8.104,1982.3,7.96,0.59,1.62,2.19,,,,,,
RFI,242,64.45,330.4556,21.081,7.7419,35.09,2330.1299,8.084,1997,9.17,0.67,2.53,2.09,,,,,,
RFI,242,64.45,330.4556,51.191,7.4679,35.126,2328.1699,8.037,2023.8,12.07,0.86,4.51,1.88,,,,,,
RFI,242,64.45,330.4556,101.615,7.3263,35.112,2331.28,8.057,2014.6,11.84,0.82,4.29,1.93,,,,,,
RFI,244,64.4504,327.9697,3.422,7.7149,35.047,2325.5701,8.107,1978.7,8.54,0.62,2.64,2.18,,,,,,
RFI,244,64.4504,327.9697,10.435,7.5356,35.047,2321.6001,8.116,1969.4,8.44,0.66,2.62,2.2,,,,,,
RFI,244,64.4504,327.9697,10.435,7.5356,35.047,2323.3601,8.116,1970.9,8.44,0.66,2.62,2.2,,,,,,
RFI,244,64.4504,327.9697,21.141,7.3869,35.049,2308.73,8.107,1963.6,8.73,0.63,2.64,2.13,,,,,,
RFI,244,64.4504,327.9697,50.791,6.9719,35.049,2330.1699,8.037,2026.2,13.38,0.9,5.49,2.13,,,,,,
