Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Nominal Depth [m],Niskin Bottle,Pressure [db],T [C],SAL,Sigma,TA [umol/l],TA [Reps],pH [in situ],pH reps,TA [UMOL/KG],TA DUPLICATE [UMOL/KG],"DIC(P,T,ALK,pH) [~$m~#mol/kg]:DOUBLE","pCO~_2(P,T,ALK,pH) [~$m~#Atm]:DOUBLE","Revelle Factor(P,T,ALK,pH):DOUBLE",fCO~_2 (pCO~_2) [~$m~#Atm]:DOUBLE,TCO2 in (mmol/kgSW),fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm),NOX UMOL/L,PO4 UMOL/L,SiO2 UMOL/L,CHL a (ug/l)
RFI,284,B,2015,330.92468,64.74583,1000,1,1012.361,4.0441,34.9216,27.7274,,,8.0388,,2303.0083,,2140.493,341.96,13.6587,340.537,2001.4,393.2,394.5,1775.5,214.7,11.2,9.575,5.17,3.41,407,15.8,1.125,9.6,
RFI,284,B,2015,330.92468,64.74583,300,2,303.422,6.1627,35.1144,27.6256,,,8.045,8.0435,2316.2058,2315.9292,2146.672,369.289,13.3408,367.794,2008.2,388,389.2,1778.1,219.1,11,9.497,5.27,3.47,401.5,14.97,1.024,7.72,
RFI,284,B,2015,330.92468,64.74583,200,,202.165,6.3644,35.131,27.6111,,,,,,,,,,,,,,,,,,,,,,,,
RFI,284,B,2015,330.92468,64.74583,100,4,100.286,6.6202,35.129,27.574,,,8.0627,,2317.3999,,2140.334,361.465,13.052,360.01,1998.5,369.1,370.2,1761.8,226.2,10.5,9.326,5.44,3.59,382,13.37,0.942,7.5,0.07
RFI,284,B,2015,330.92468,64.74583,50,6,51.588,6.7293,35.1287,27.5584,,,8.0586,,2316.606,,2141.376,367.384,13.1104,365.908,2000.3,373.3,374.5,1765.1,224.5,10.6,9.364,5.4,3.56,386.3,13.04,0.925,7.6,0.27
RFI,284,B,2015,330.92468,64.74583,20,7,20.652,6.8186,35.1293,27.5462,,,8.0596,,2315.7954,,2140.057,367.662,13.0863,366.187,1998.9,372.1,373.3,1763.5,224.8,10.6,9.354,5.41,3.56,385.1,13.17,0.926,7.28,
RFI,284,B,2015,330.92468,64.74583,10,8,9.345,6.8223,35.1295,27.5457,,,8.0638,,2315.8311,,2138.44,364.118,13.0272,362.657,1996.4,367.6436768,368.8200684,1759.4,226.5,10.4,9.314,5.45,3.59,380.5,13.16,0.938,7.37,
RFI,284,B,2015,330.92468,64.74583,0,9,4.045,6.821,35.1294,27.5457,,,8.0608,,2317.3894,,2141.308,367.475,13.0785,366.001,1999.6,371.0701599,372.2574768,1763.6,225.5,10.5,9.344,5.42,3.57,384,13.15,0.925,7.02,
RFI,285,B,2015,328.87817,64.75066,1000,1,1013.641,4.0512,34.9167,27.7227,,,8.0451,,2307.2329,,2141.907,337.004,13.5639,335.602,2001.5,387,388.3,1773,217.6,11,9.518,5.24,3.45,400.6,16.36,1.127,9.03,
RFI,285,B,2015,328.87817,64.75066,300,4,302.106,5.8,35.0799,27.6446,,,8.0434,,2313.8533,,2147.727,370.277,13.4708,368.771,2007.3,389.5,390.7,1778.1,218.2,11.1,9.516,5.25,3.46,403.1,15.52,1.039,7.93,
RFI,285,B,2015,328.87817,64.75066,200,6,201.462,6.0629,35.1045,27.6295,,,8.0455,8.0462,2316.636,2313.8594,2149.211,373.208,13.4188,371.695,2008.4,387.6,388.8,1778.1,219.3,11,9.494,5.28,3.48,401.1,15.21,1.047,7.63,
RFI,285,B,2015,328.87817,64.75066,100,7,100.6,6.2553,35.1137,27.6106,,,8.0539,,2318.8748,,2148.069,369.904,13.2916,368.408,2005.3,378.8,380,1771.7,222.9,10.7,9.414,5.36,3.53,392,14.28,0.996,7.46,0.14
RFI,285,B,2015,328.87817,64.75066,50,8,50.045,6.4685,35.1051,27.575,,,8.0515,,2311.2825,,2141.253,373.334,13.2885,371.829,1999.9,380.1,381.3,1768,221.1,10.8,9.43,5.32,3.51,393.4,13.41,0.929,7.28,0.45
